,variable,coefficient,Importance
143,Intercept,[-2.01899833],[2.01899833]
138,balsheet_notfullyear,-0.5752948921323723,0.5752948921323723
34,sales_mil_log_sq,0.3046562630407503,0.3046562630407503
26,sales_mil_log,-0.250889146792376,0.250889146792376
7,C(ind2_cat)[T.56.0],-0.18756383228698986,0.18756383228698986
119,age,-0.16177856040145125,0.16177856040145125
90,ceo_age,-0.13857921296592896,0.13857921296592896
135,new,0.13595248324351802,0.13595248324351802
5,C(ind2_cat)[T.33.0],0.1194752560985283,0.1194752560985283
48,material_exp_pl,0.11894299050401988,0.11894299050401988
